states,image,fixed,cycles,recurrent,max_period,max_transient,largest_basin,commutator_nonzero,graph_sha256,model,mode,encoding,width,rule_change_recurrent
65536,21964,66,150,342,4,11,61081,65448,1c9e7ea701e00aa57c86873c8ca237c8d5040238f02e611a244cf667e710b227,selector2d,vertical,15,4,
512,272,2,5,11,3,8,460,429,0b3b9af5f84eef15fc6f4a13d17083828cee00cd83278d8956f698341ff95f43,selector2d,horizontal,16,3,
65536,23926,10,107,384,12,12,51705,63208,58cd0a86f2b468f5a05aada9d0dbaaee04c626f31f1e539b53fae0ee2d338a56,selector2d,horizontal,16,4,
512,281,5,25,74,6,8,69,489,b8260415fef6c8c302dacf7e936ce9fd5e826e9b5d835d239a0222782871084a,selector2d,vertical,16,3,
65536,23762,6,228,860,12,15,2048,65330,a7c852f015dc8dd55bfb097f54391a97d1529db339300a07dbaab68d12ffbbe9,selector2d,vertical,16,4,
512,287,5,10,23,6,14,487,435,381352e14b6dee8b8d4cb09d611074d1832fdaff27ee94d4f7513a1136d02226,selector2d,horizontal,17,3,
65536,23520,6,45,138,8,19,62521,64158,f5607047c8f2364d1f59ae8daeeaa92f46681d77e5ae0e06bdf21a2dea1385c1,selector2d,horizontal,17,4,
512,287,2,29,113,9,6,90,495,3aa53273e0b36bfe408e5ebf0603a03135424524a951f898a6997d4bb515f93b,selector2d,vertical,17,3,
65536,24598,2,157,646,20,26,12580,65516,f9edc5d990a3f46fb5cc733ced9a5c63d3062bd2f8c8b321d1eaed34fe44a051,selector2d,vertical,17,4,
512,275,5,19,47,3,5,108,462,b302aa8325a840935242220d633b81837be542a5bfd4dd816d597822fe64d10f,selector2d,horizontal,18,3,
65536,20188,14,228,820,4,12,3624,65026,b7b1652b37596ec459d8f1584561a0632a566be653e12973de6d2159be8de801,selector2d,horizontal,18,4,
512,272,2,5,11,3,8,460,489,5f02936e552ebfe7b49326dd7d283e46eb94a6c476c73ca623a774177bba3e22,selector2d,vertical,18,3,
65536,23926,10,107,384,12,12,51705,65436,9765044c4e6d53362f3094c578cbba583e82121714904691ade328e775dc5aa2,selector2d,vertical,18,4,
512,245,5,16,38,3,6,123,498,771caa2d2002244fbddd98c29b3f765ed3c9983ceace4bc3e1ea9d316b09bfd6,selector2d,horizontal,19,3,
65536,23392,4,178,656,4,16,6060,65500,28d07b783630cf8dcffa7c4037f932bdac06901a66739b67bfa87039eaef259b,selector2d,horizontal,19,4,
512,191,5,18,53,6,6,319,456,28ab47680f272c4f9c7c520abc57037755ba749df7e36660e8da08c31bbce78f,selector2d,vertical,19,3,
65536,21556,8,112,426,8,22,41551,65160,ad9ecd24de4679055ecaf4946102940c7b8898d4015a4118eb6fd9254f33dd70,selector2d,vertical,19,4,
512,221,2,13,38,6,5,400,432,b4920ed10522b4e06b996e14df8296abf9543ac1d6c9de192cd32529fc0fa244,selector2d,horizontal,20,3,
65536,20638,2,53,180,4,10,64065,63376,7533fe8ac6657206caaa03bf6a90f72a5b687e37dc7a65cd4af7ff1a46e06cfb,selector2d,horizontal,20,4,
512,242,2,18,50,3,4,117,486,7e17acb9d1082ce156cb8fb4f050546566baa50739136d792a2d975fdda00aec,selector2d,vertical,20,3,
65536,21896,2,186,702,8,8,4484,65486,0b791bb537469a55b0f3b75bae3d56e78af87e17eab55f969bf6b392a2630d46,selector2d,vertical,20,4,
512,290,8,24,65,6,10,102,495,96e475c1c779be5a7f8da45ac33d6fe3f0688cb039eae4386e4719abc8469b80,selector2d,horizontal,21,3,
65536,26424,16,349,1192,6,22,1572,65488,ac713c94e304f4621edd07ab63705e4dc541aeb320d0b228f999079c46cc0c5c,selector2d,horizontal,21,4,
512,143,11,19,35,3,3,157,372,2c216c1cbc55c15302a34533a4e0bf1f3bb6953f30068de3fe8c73be142500ba,selector2d,vertical,21,3,
65536,23044,110,330,588,10,14,29081,64048,560f78dd735af059196ea087f743e29fd09588fcaf10ccf8a97879d0e3b2471e,selector2d,vertical,21,4,
512,317,2,28,110,15,8,96,495,7040247ada7122ca87695be7e774f21a5d4b25e43221c3f9806022b06fa2eeb5,selector2d,horizontal,22,3,
65536,23072,4,159,944,56,20,5028,65516,43b6feb266260f526dc1d418e9d53cc0a6a0be2b7b402cc1e522b0d0cb00cd7b,selector2d,horizontal,22,4,
512,266,5,19,47,3,8,214,486,870e55818c2157f10a5f0fc93bed22fa820c4ec7686d75435c5a6150ae7f202a,selector2d,vertical,22,3,
65536,27036,116,244,586,8,21,23039,65016,5e05822df3393be20b7f72fd22d866d5988aa85f12cdd9fac6a5b4cb668011a4,selector2d,vertical,22,4,
512,284,2,30,86,4,7,39,489,96affaea2bc1279dc4ac9822464868d4e6dc82607fb70c0f931f45e95c7af34f,selector2d,horizontal,23,3,
65536,26524,2,304,1048,4,20,13858,65472,737b81c38a67e6dba576c7c753f9ff9cb5af8cc6c666fae9da14252db8b97aee,selector2d,horizontal,23,4,
512,227,2,26,92,9,5,124,498,7a62bd7ab880ca2b22c2136b996bf961ce48147a79d0401b41c8e98daff773b4,selector2d,vertical,23,3,
65536,26364,4,184,666,4,23,14363,65522,0a5d69b84dd2dd75927751ffb29a757253a705d59cab8d8934029b69f4482256,selector2d,vertical,23,4,
