rule,class,projection,block,stride,e0,e1,e2,e3,e4,coverage_h4,repair_h4,raw_compression
53,II,majority,3,1,0.06831818181818182,0.06332422586520947,0.054972627737226276,0.05498171846435101,0.004166666666666667,0.9916666666666667,0.9390108671545797,0.11778947368421053
54,IV,majority,3,1,0.1420909090909091,0.11104735883424408,0.08764598540145985,0.01987202925045704,0.009551282051282051,0.9988369963369963,0.9327804846039011,0.7393157894736843
55,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.009263157894736843
56,II,majority,3,1,0.16,0.13166666666666665,0.0,0.0,0.0016666666666666668,0.9983333333333333,0.9895833333333333,0.06563157894736842
57,II,majority,3,1,0.033345454545454546,0.028333333333333332,0.0016697080291970803,0.0066727605118829985,0.006666666666666667,0.9716666666666667,0.8000727008360595,0.0648421052631579
58,II,majority,3,1,0.125,0.10833333333333334,0.0,0.0,0.0,1.0,1.0,0.06378947368421052
59,II,majority,3,1,0.14417272727272729,0.09329690346083788,0.08081204379562044,0.04670018281535649,0.043333333333333335,0.9758333333333333,0.6994346007524644,0.11747368421052631
60,III,majority,3,1,0.49877272727272726,0.3725318761384335,0.18422445255474454,0.10351919561243145,0.07146520146520147,1.0,0.8567179046537472,1.000842105263158
61,II,majority,3,1,0.10505454545454546,0.027531876138433515,0.017536496350364965,0.017522851919561242,6.41025641025641e-05,0.9998901098901098,0.9993898163680095,0.06663157894736842
62,II,majority,3,1,0.09180909090909091,0.1,0.04166970802919708,0.031672760511882996,0.023333333333333334,0.96,0.7458494240353831,0.011
63,II,majority,3,1,0.17499090909090909,0.12835154826958106,0.10077554744525548,0.0433363802559415,0.015,0.9858333333333333,0.9142812613642266,0.11347368421052631
64,I,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.002157894736842105
65,II,majority,3,1,0.08918181818181818,0.08920765027322404,0.08918795620437957,0.014177330895795247,0.014166666666666666,1.0,0.8411484879374789,0.09131578947368421
66,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.057578947368421056
67,II,majority,3,1,0.10662727272727272,0.017495446265938068,0.01167883211678832,0.0116636197440585,0.0,1.0,1.0,0.1031578947368421
68,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,0.995,,0.006526315789473684
69,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.005894736842105263
70,II,majority,3,1,0.28,0.0,0.0,0.0,0.0,1.0,1.0,0.008105263157894737
71,II,majority,3,1,0.3125,0.0024954462659380694,0.0025,0.0024954296160877515,0.0025,0.995,0.992,0.009894736842105263
72,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.005736842105263158
73,II,majority,3,1,0.3829090909090909,0.19718579234972677,0.0666514598540146,0.03707495429616088,0.028104395604395604,0.9496245421245422,0.9266029554491093,0.2511578947368421
74,II,majority,3,1,0.15343636363636365,0.14833333333333334,0.0,0.0,0.0,1.0,1.0,0.09152631578947368
75,III,majority,3,1,0.41814545454545454,0.3393169398907104,0.21361313868613138,0.13731261425959781,0.09615384615384616,0.9994505494505495,0.7700468937098209,1.000842105263158
76,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.006789473684210527
77,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.006526315789473684
78,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.005842105263157895
79,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.005947368421052632
80,II,majority,3,1,0.11164545454545455,0.0,0.0,0.0,0.0,0.9933333333333333,1.0,0.06373684210526316
81,II,majority,3,1,0.21836363636363637,0.09,0.0,0.0016636197440585009,0.013333333333333334,0.9733333333333334,0.938939772411879,0.0948421052631579
82,II,majority,3,1,0.3221636363636364,0.2615027322404372,0.22182481751824817,0.158382084095064,0.14144688644688644,0.8676648351648352,0.5609470763260481,0.12826315789473683
83,II,majority,3,1,0.0667,0.05921675774134791,0.051715328467153286,0.058318098720292505,0.0,1.0,1.0,0.11936842105263158
84,II,majority,3,1,0.1250181818181818,0.0724863387978142,0.04833029197080292,0.05080438756855576,0.06166666666666667,0.8766666666666667,0.5067384138064766,0.05921052631578947
85,II,majority,3,1,0.2833909090909091,0.275,0.02750912408759124,0.05585923217550274,0.0875,0.825,0.6912392134218716,0.1098421052631579
86,III,majority,3,1,0.307,0.2663023679417122,0.19831204379562045,0.1547349177330896,0.12478021978021978,0.9994413919413919,0.5935497727028671,1.000842105263158
87,II,majority,3,1,0.06336363636363636,0.05918032786885246,0.059215328467153286,0.06584095063985375,0.0,1.0,1.0,0.09815789473684211
88,II,majority,3,1,0.1532,0.14833333333333334,0.0,0.0,0.0,1.0,1.0,0.09105263157894737
89,III,majority,3,1,0.4157909090909091,0.3332695810564663,0.21321167883211678,0.14071297989031079,0.09740842490842491,0.9996428571428572,0.7657273817712849,1.000842105263158
90,III,majority,3,1,0.4354636363636364,0.3407103825136612,0.25974452554744526,0.21121572212065814,0.19024725274725274,0.9922069597069597,0.5631156384585332,1.000842105263158
91,II,majority,3,1,0.1175,0.0,0.0,0.0,0.0,1.0,1.0,0.009
92,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.005947368421052632
93,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.006
94,II,majority,3,1,0.11995454545454545,0.06000910746812386,0.008330291970802919,0.01,0.01,0.99,0.9166350890488822,0.01231578947368421
95,II,majority,3,1,0.265,0.005009107468123861,0.005,0.005009140767824497,0.005,0.99,0.9811320754716981,0.009421052631578948
96,I,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.002157894736842105
97,IV,majority,3,1,0.28205454545454545,0.11564663023679417,0.09506386861313869,0.04846435100548446,0.03926739926739927,0.9983882783882784,0.8607808315795165,0.15168421052631578
98,II,majority,3,1,0.13328181818181817,0.11833333333333333,0.0,0.0016636197440585009,0.0016666666666666668,0.9966666666666667,0.9874951685878635,0.06589473684210527
99,II,majority,3,1,0.02669090909090909,0.02666666666666667,0.0,0.0016636197440585009,0.0016666666666666668,0.9966666666666667,0.9375567665758401,0.059526315789473684
100,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.006157894736842105
101,III,majority,3,1,0.4156909090909091,0.33960837887067397,0.2141058394160584,0.1399542961608775,0.0965934065934066,0.9997527472527472,0.7676316597717989,1.000842105263158
102,III,majority,3,1,0.5012090909090909,0.3754007285974499,0.1819890510948905,0.10444241316270567,0.07280219780219781,1.0,0.8547468529149193,1.000842105263158
103,II,majority,3,1,0.10334545454545455,0.025837887067395263,0.018357664233576643,0.018354661791590492,1.8315018315018315e-05,0.9999725274725275,0.9998227786756991,0.10773684210526316
104,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.00568421052631579
105,III,majority,3,1,0.3771818181818182,0.34647540983606556,0.27715328467153283,0.23090493601462522,0.20398351648351648,0.993562271062271,0.4591904841362542,1.000842105263158
106,IV,majority,3,1,0.3126181818181818,0.28799635701275045,0.17150547445255473,0.10728519195612432,0.08378205128205128,0.9996336996336996,0.7319987890826555,1.000842105263158
107,IV,majority,3,1,0.28565454545454544,0.11506375227686703,0.0939507299270073,0.05023765996343693,0.044157509157509156,0.998562271062271,0.8454163959224108,0.13147368421052633
108,II,majority,3,1,0.085,0.0,0.0,0.0,0.0,1.0,1.0,0.009736842105263158
109,II,majority,3,1,0.3805090909090909,0.18788706739526412,0.08489051094890511,0.04127056672760512,0.04013736263736264,0.9219413919413919,0.8945166788486744,0.12526315789473685
110,IV,majority,3,1,0.21933636363636363,0.1304462659380692,0.09666058394160584,0.07414990859232176,0.015256410256410256,0.9916025641025641,0.9304428595264589,0.44294736842105265
111,II,majority,3,1,0.0842,0.08418943533697631,0.08420620437956204,0.026663619744058502,0.03333333333333333,0.9866666666666667,0.6041171813143309,0.09810526315789474
112,II,majority,3,1,0.305,0.24,0.04667883211678832,0.07831809872029251,0.10666666666666667,0.765,0.6502732240437158,0.07110526315789474
113,II,majority,3,1,0.09166363636363636,0.08333333333333333,0.08002737226277372,0.0866636197440585,0.09833333333333333,0.8166666666666667,-0.07276273595821343,0.09757894736842106
114,II,majority,3,1,0.125,0.10833333333333334,0.0,0.0,0.0,1.0,1.0,0.061052631578947365
115,II,majority,3,1,0.14837272727272727,0.1017304189435337,0.07916970802919708,0.044195612431444244,0.03833333333333333,0.9841666666666666,0.7416416477748504,0.11668421052631579
116,II,majority,3,1,0.26331818181818184,0.05,0.0,0.0,0.0,0.9916666666666667,1.0,0.062157894736842106
117,II,majority,3,1,0.2550090909090909,0.10333333333333333,0.00333029197080292,0.013345521023765997,0.03,0.94,0.8823571352179957,0.095
118,II,majority,3,1,0.11262727272727273,0.0941712204007286,0.05604014598540146,0.0629981718464351,0.05119047619047619,0.8938003663003663,0.5454877406608781,0.015736842105263157
119,II,majority,3,1,0.17667272727272726,0.12591985428051003,0.09998175182481751,0.044981718464351006,0.018333333333333333,0.9858333333333333,0.8962299749579774,0.11147368421052632
120,IV,majority,3,1,0.3048363636363636,0.28210382513661203,0.17215328467153285,0.10760511882998172,0.08529304029304029,0.9992307692307693,0.7202005716260755,0.996578947368421
121,IV,majority,3,1,0.26093636363636363,0.1251912568306011,0.11008211678832117,0.056910420475319926,0.0468956043956044,0.9963919413919414,0.8202795358144973,0.1415263157894737
122,III,majority,3,1,0.4896090909090909,0.14632058287795993,0.00927919708029197,0.0026782449725776965,0.0015842490842490843,0.9995879120879121,0.9967642572132239,0.7085789473684211
123,II,majority,3,1,0.235,0.015009107468123862,0.015,0.015009140767824497,0.015,0.97,0.9361702127659574,0.009052631578947368
124,IV,majority,3,1,0.234,0.14975409836065573,0.10389598540145985,0.07823583180987202,0.017793040293040293,0.9956776556776556,0.9239613662690586,0.4263157894736842
125,II,majority,3,1,0.08165454545454545,0.08165755919854281,0.0816514598540146,0.022504570383912247,0.0225,1.0,0.7244488977955912,0.09989473684210526
126,III,majority,3,1,0.48813636363636365,0.14716757741347905,0.008978102189781022,0.0022851919561243145,0.001098901098901099,0.9999358974358974,0.9977487825518369,0.7287368421052631
127,II,majority,3,1,0.1225,0.0,0.0,0.0,0.0,1.0,1.0,0.008684210526315789
128,I,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.002157894736842105
129,III,majority,3,1,0.48813636363636365,0.14716757741347905,0.008978102189781022,0.0022851919561243145,0.0011446886446886447,0.9999358974358974,0.99765498182483,0.7284736842105263
