width,observed_steps,future_steps,mode,source_pairs,panels,unique_rule_panels,ambiguous_rule_one_future,multiple_future_panels,source_weighted_multiple_future_fraction,mean_candidate_rules,mean_rule_bits,mean_continuations,max_continuations,mean_future_bits,max_future_bits,more_futures_than_autonomous,fewer_futures_than_autonomous
8,6,3,autonomous,65536,42718,32288,10334,96,0.0029296875,1.5341542207032164,0.34425768996675876,1.0022472962217333,2,0.002247296221733227,1,0,0
8,6,4,autonomous,65536,42718,32288,10334,96,0.0029296875,1.5341542207032164,0.34425768996675876,1.0022472962217333,2,0.002247296221733227,1,0,0
8,6,1,flip_cell_0,65536,42718,32288,7004,3426,0.21185302734375,1.5341542207032164,0.34425768996675876,1.1219626387003137,8,0.09813193501568425,3,3346,16
8,6,2,flip_cell_0,65536,42718,32288,6514,3916,0.23126220703125,1.5341542207032164,0.34425768996675876,1.1641462615290978,45,0.12828315932393838,6,3828,8
8,6,3,flip_cell_0,65536,42718,32288,6380,4050,0.2353515625,1.5341542207032164,0.34425768996675876,1.173650451800178,52,0.13343321316541037,6,3962,8
8,6,4,flip_cell_0,65536,42718,32288,6296,4134,0.238037109375,1.5341542207032164,0.34425768996675876,1.177583220188211,52,0.13554005337328526,6,4046,8
10,0,1,autonomous,262144,1024,0,0,1024,1.0,256.0,8.0,92.82421875,256,6.109375,8,0,0
10,0,2,autonomous,262144,1024,0,0,1024,1.0,256.0,8.0,169.08984375,256,7.744140625,8,0,0
10,0,3,autonomous,262144,1024,0,0,1024,1.0,256.0,8.0,184.142578125,256,7.880859375,8,0,0
10,0,4,autonomous,262144,1024,0,0,1024,1.0,256.0,8.0,187.74609375,256,7.939453125,8,0,0
10,0,1,flip_cell_0,262144,1024,0,0,1024,1.0,256.0,8.0,92.82421875,256,6.109375,8,368,368
10,0,2,flip_cell_0,262144,1024,0,0,1024,1.0,256.0,8.0,169.08984375,256,7.744140625,8,484,484
10,0,3,flip_cell_0,262144,1024,0,0,1024,1.0,256.0,8.0,184.142578125,256,7.880859375,8,488,488
10,0,4,flip_cell_0,262144,1024,0,0,1024,1.0,256.0,8.0,187.74609375,256,7.939453125,8,488,488
10,1,1,autonomous,262144,95052,23040,26736,45276,0.61932373046875,2.7579009384336994,1.1084038210663636,1.821613432647393,16,0.6057315995455119,4,0,0
10,1,2,autonomous,262144,95052,23040,22956,49056,0.651519775390625,2.7579009384336994,1.1084038210663636,1.9837773008458528,16,0.722867483061903,4,0,0
10,1,3,autonomous,262144,95052,23040,21996,50016,0.66021728515625,2.7579009384336994,1.1084038210663636,2.022598156798384,16,0.744855447544502,4,0,0
10,1,4,autonomous,262144,95052,23040,21776,50236,0.662200927734375,2.7579009384336994,1.1084038210663636,2.030488574674915,16,0.7493792871270463,4,0,0
10,1,1,flip_cell_0,262144,95052,23040,23902,48110,0.677581787109375,2.7579009384336994,1.1084038210663636,1.9416109077136725,16,0.6655514876067836,4,11628,7240
10,1,2,flip_cell_0,262144,95052,23040,17670,54342,0.737396240234375,2.7579009384336994,1.1084038210663636,2.164352144089551,63,0.8233598451373985,6,12240,5074
10,1,3,flip_cell_0,262144,95052,23040,16418,55594,0.747711181640625,2.7579009384336994,1.1084038210663636,2.210200732230779,73,0.8505660059756764,7,11862,3916
10,1,4,flip_cell_0,262144,95052,23040,16136,55876,0.7499847412109375,2.7579009384336994,1.1084038210663636,2.2217102217733453,78,0.8560998190464167,7,11678,3580
10,2,1,autonomous,262144,173148,118000,41134,14014,0.12255859375,1.5139880333587452,0.39123755400004623,1.0890221082542102,8,0.08405525908471366,3,0,0
10,2,2,autonomous,262144,173148,118000,38584,16564,0.1433868408203125,1.5139880333587452,0.39123755400004623,1.1103333564349573,14,0.10328736110148544,4,0,0
10,2,3,autonomous,262144,173148,118000,37904,17244,0.1488800048828125,1.5139880333587452,0.39123755400004623,1.1146649109432394,14,0.10761891560976737,4,0,0
10,2,4,autonomous,262144,173148,118000,37544,17604,0.1519317626953125,1.5139880333587452,0.39123755400004623,1.1167440571072147,14,0.1096980617737427,4,0,0
10,2,1,flip_cell_0,262144,173148,118000,31038,24110,0.2607269287109375,1.5139880333587452,0.39123755400004623,1.1747060318340379,16,0.15386836694619632,4,12454,2114
10,2,2,flip_cell_0,262144,173148,118000,27186,27962,0.29278564453125,1.5139880333587452,0.39123755400004623,1.2188185829463811,45,0.19203224986716566,6,13190,1558
10,2,3,flip_cell_0,262144,173148,118000,26054,29094,0.3018035888671875,1.5139880333587452,0.39123755400004623,1.228821586157507,52,0.20029108046295654,6,13204,992
10,2,4,flip_cell_0,262144,173148,118000,25600,29548,0.3054351806640625,1.5139880333587452,0.39123755400004623,1.2324138886963754,52,0.20317878346847784,6,13092,734
10,3,1,autonomous,262144,188562,145160,39952,3450,0.0276947021484375,1.3902270871119313,0.2890508161771725,1.0195691602761956,8,0.018720633001347037,3,0,0
10,3,2,autonomous,262144,188562,145160,39202,4200,0.033721923828125,1.3902270871119313,0.2890508161771725,1.0235466318770483,8,0.022698104602199808,3,0,0
10,3,3,autonomous,262144,188562,145160,38842,4560,0.036773681640625,1.3902270871119313,0.2890508161771725,1.0254558182454576,8,0.024607290970609135,3,0,0
10,3,4,autonomous,262144,188562,145160,38602,4800,0.038909912109375,1.3902270871119313,0.2890508161771725,1.0267286091577306,8,0.025880081882882024,3,0,0
10,3,1,flip_cell_0,262144,188562,145160,28046,15356,0.18359375,1.3902270871119313,0.2890508161771725,1.1087811966355894,8,0.09281827727750024,3,12404,488
10,3,2,flip_cell_0,262144,188562,145160,26042,17360,0.20111083984375,1.3902270871119313,0.2890508161771725,1.1352870673836721,45,0.11499665892385529,6,13600,422
10,3,3,flip_cell_0,262144,188562,145160,25486,17916,0.20556640625,1.3902270871119313,0.2890508161771725,1.1400918530775024,52,0.11873017893318909,6,13684,296
10,3,4,flip_cell_0,262144,188562,145160,25280,18122,0.2072601318359375,1.3902270871119313,0.2890508161771725,1.1416828417178435,52,0.11998175666359076,6,13616,246
10,4,1,autonomous,262144,192252,152180,39322,750,0.0060272216796875,1.3635436822503797,0.2654536753843913,1.0039011297671805,2,0.0039011297671805753,1,0,0
10,4,2,autonomous,262144,192252,152180,38962,1110,0.0090789794921875,1.3635436822503797,0.2654536753843913,1.0057736720554273,2,0.005773672055427252,1,0,0
10,4,3,autonomous,262144,192252,152180,38722,1350,0.0112152099609375,1.3635436822503797,0.2654536753843913,1.007022033580925,2,0.007022033580925036,1,0,0
10,4,4,autonomous,262144,192252,152180,38602,1470,0.0124359130859375,1.3635436822503797,0.2654536753843913,1.007646214343674,2,0.007646214343673928,1,0,0
10,4,1,flip_cell_0,262144,192252,152180,27920,12152,0.154937744140625,1.3635436822503797,0.2654536753843913,1.0845972993778998,8,0.07230093835174667,3,11556,146
10,4,2,flip_cell_0,262144,192252,152180,26376,13696,0.1687164306640625,1.3635436822503797,0.2654536753843913,1.107650375548759,45,0.09136966065372532,6,12758,156
10,4,3,flip_cell_0,262144,192252,152180,26004,14068,0.1717681884765625,1.3635436822503797,0.2654536753843913,1.1113954601252523,52,0.09409524998439549,6,12902,156
10,4,4,flip_cell_0,262144,192252,152180,25886,14186,0.1727294921875,1.3635436822503797,0.2654536753843913,1.1124981794727753,52,0.09486507292511911,6,12894,134
10,5,1,autonomous,262144,193002,153600,39042,360,0.0030517578125,1.3582449922798727,0.26074341198536805,1.0018652656449156,2,0.0018652656449155967,1,0,0
10,5,2,autonomous,262144,193002,153600,38802,600,0.00518798828125,1.3582449922798727,0.26074341198536805,1.0031087760748594,2,0.003108776074859328,1,0,0
10,5,3,autonomous,262144,193002,153600,38682,720,0.00640869140625,1.3582449922798727,0.26074341198536805,1.0037305312898313,2,0.0037305312898311934,1,0,0
10,5,4,autonomous,262144,193002,153600,38642,760,0.0067138671875,1.3582449922798727,0.26074341198536805,1.003937783028155,2,0.003937783028155149,1,0,0
10,5,1,flip_cell_0,262144,193002,153600,27066,12336,0.1591644287109375,1.3582449922798727,0.26074341198536805,1.0890560719578035,8,0.0744240992321323,3,12048,64
10,5,2,flip_cell_0,262144,193002,153600,25652,13750,0.172149658203125,1.3582449922798727,0.26074341198536805,1.1117604998911927,45,0.09294204205137771,6,13250,84
10,5,3,flip_cell_0,262144,193002,153600,25380,14022,0.17437744140625,1.3582449922798727,0.26074341198536805,1.1149521766613817,52,0.09511818530377923,6,13414,84
10,5,4,flip_cell_0,262144,193002,153600,25304,14098,0.175018310546875,1.3582449922798727,0.26074341198536805,1.1158329965492586,52,0.09566740241033772,6,13422,56
10,6,1,autonomous,262144,193362,154240,38882,240,0.00213623046875,1.355716221387863,0.25860303472243773,1.001241195271046,2,0.0012411952710460173,1,0,0
10,6,2,autonomous,262144,193362,154240,38762,360,0.00335693359375,1.355716221387863,0.25860303472243773,1.001861792906569,2,0.001861792906569026,1,0,0
10,6,3,autonomous,262144,193362,154240,38722,400,0.003662109375,1.355716221387863,0.25860303472243773,1.0020686587850767,2,0.0020686587850766956,1,0,0
10,6,4,autonomous,262144,193362,154240,38722,400,0.003662109375,1.355716221387863,0.25860303472243773,1.0020686587850767,2,0.0020686587850766956,1,0,0
10,6,1,flip_cell_0,262144,193362,154240,27434,11688,0.151031494140625,1.355716221387863,0.25860303472243773,1.0814224097806187,8,0.06934144247577083,3,11496,40
10,6,2,flip_cell_0,262144,193362,154240,26184,12938,0.162506103515625,1.355716221387863,0.25860303472243773,1.1028226849122371,45,0.08678023603396738,6,12654,60
10,6,3,flip_cell_0,262144,193362,154240,25952,13170,0.1644287109375,1.355716221387863,0.25860303472243773,1.1058222401505984,52,0.088766148467641,6,12830,44
10,6,4,flip_cell_0,262144,193362,154240,25892,13230,0.164886474609375,1.355716221387863,0.25860303472243773,1.106618673782853,52,0.08923159669428327,6,12866,20
