n,A,B,dispatch,trace,K,shift,useful_inheritance,cases,same_task_map,revision_changed_macro,replacement_changed_macro,sum_uncompiled,sum_frozen,sum_replace,sum_revisable,revision_win_uncompiled,revision_tie_uncompiled,revision_loss_uncompiled,max_saving_uncompiled,max_excess_uncompiled,revision_win_frozen,revision_tie_frozen,revision_loss_frozen,max_saving_frozen,max_excess_frozen,revision_win_replace,revision_tie_replace,revision_loss_replace,max_saving_replace,max_excess_replace
9,0,51,2,2,16,far,0,176,70,0,0,15840,17248,17248,17600,0,0,176,-10,10,0,0,176,-2,2,0,0,176,-2,2
9,0,51,2,4,1,unchanged,0,16,16,0,0,540,668,668,732,0,0,16,-12,12,0,0,16,-4,4,0,0,16,-4,4
9,0,51,2,4,1,one_edit,0,64,40,0,0,2160,2672,2672,2928,0,0,64,-12,12,0,0,64,-4,4,0,0,64,-4,4
9,0,51,2,4,1,far,0,176,70,0,0,5940,7348,7348,8052,0,0,176,-12,12,0,0,176,-4,4,0,0,176,-4,4
9,0,51,2,4,4,unchanged,0,16,16,0,0,720,848,848,912,0,0,16,-12,12,0,0,16,-4,4,0,0,16,-4,4
9,0,51,2,4,4,one_edit,0,64,40,0,0,2880,3392,3392,3648,0,0,64,-12,12,0,0,64,-4,4,0,0,64,-4,4
9,0,51,2,4,4,far,0,176,70,0,0,7920,9328,9328,10032,0,0,176,-12,12,0,0,176,-4,4,0,0,176,-4,4
9,0,51,2,4,16,unchanged,0,16,16,0,0,1440,1568,1568,1632,0,0,16,-12,12,0,0,16,-4,4,0,0,16,-4,4
9,0,51,2,4,16,one_edit,0,64,40,0,0,5760,6272,6272,6528,0,0,64,-12,12,0,0,64,-4,4,0,0,64,-4,4
9,0,51,2,4,16,far,0,176,70,0,0,15840,17248,17248,17952,0,0,176,-12,12,0,0,176,-4,4,0,0,176,-4,4
9,0,51,2,8,1,unchanged,0,16,16,0,0,540,668,668,796,0,0,16,-16,16,0,0,16,-8,8,0,0,16,-8,8
9,0,51,2,8,1,one_edit,0,64,40,0,0,2160,2672,2672,3184,0,0,64,-16,16,0,0,64,-8,8,0,0,64,-8,8
9,0,51,2,8,1,far,0,176,70,0,0,5940,7348,7348,8756,0,0,176,-16,16,0,0,176,-8,8,0,0,176,-8,8
9,0,51,2,8,4,unchanged,0,16,16,0,0,720,848,848,976,0,0,16,-16,16,0,0,16,-8,8,0,0,16,-8,8
9,0,51,2,8,4,one_edit,0,64,40,0,0,2880,3392,3392,3904,0,0,64,-16,16,0,0,64,-8,8,0,0,64,-8,8
9,0,51,2,8,4,far,0,176,70,0,0,7920,9328,9328,10736,0,0,176,-16,16,0,0,176,-8,8,0,0,176,-8,8
9,0,51,2,8,16,unchanged,0,16,16,0,0,1440,1568,1568,1696,0,0,16,-16,16,0,0,16,-8,8,0,0,16,-8,8
