m,a,b,k,primitive_m,physical_flips,rule,off_code,outer_conflicts,witness_input,witness_other,witness_output
4,2,5,2,4,3,-1,20,0,0,-1,8
4,2,5,3,4,3,-1,122,0,0,-1,1
4,2,6,1,4,1,-1,6,0,0,-1,4
4,2,6,2,4,1,-1,31,0,0,-1,8
4,2,6,3,4,1,-1,121,0,0,-1,1
4,2,7,1,4,2,-1,8,0,0,-1,4
4,2,7,2,4,2,-1,30,0,0,-1,8
4,2,7,3,4,2,-1,110,0,0,-1,1
4,2,8,1,4,2,-1,8,0,0,-1,4
4,2,8,2,4,2,-1,0,16,1,0,2
4,2,8,3,4,2,-1,128,0,0,-1,1
4,2,9,1,4,3,-1,8,0,0,-1,4
4,2,9,2,4,3,-1,28,0,0,-1,8
4,2,9,3,4,3,-1,106,0,0,-1,1
4,2,10,1,4,1,-1,8,0,0,-1,4
4,2,10,2,4,1,-1,16,0,0,-1,8
4,2,10,3,4,1,-1,128,0,0,-1,1
4,2,11,1,4,2,-1,8,0,0,-1,4
4,2,11,2,4,2,-1,32,0,0,-1,8
4,2,11,3,4,2,-1,128,0,0,-1,1
4,2,12,1,4,3,-1,8,0,0,-1,4
4,2,12,2,4,3,-1,32,0,0,-1,8
4,2,12,3,4,3,-1,128,0,0,-1,1
4,2,13,1,4,4,-1,8,0,0,-1,4
4,2,13,2,4,4,-1,24,0,0,-1,8
4,2,13,3,4,4,-1,126,0,0,-1,1
4,2,14,1,4,2,-1,8,0,0,-1,4
4,2,14,2,4,2,-1,30,0,0,-1,8
4,2,14,3,4,2,-1,128,0,0,-1,1
4,2,15,1,4,3,-1,5,0,0,-1,4
4,2,15,2,4,3,-1,20,0,0,-1,8
4,2,15,3,4,3,-1,92,0,0,-1,1
4,3,0,1,4,2,-1,5,0,0,-1,5
4,3,0,2,4,2,-1,20,0,0,-1,10
4,3,0,3,4,2,-1,80,0,0,-1,5
4,3,1,1,4,1,-1,6,0,0,-1,5
4,3,1,2,4,1,-1,31,0,0,-1,10
4,3,1,3,4,1,-1,121,0,0,-1,5
4,3,2,1,4,1,-1,8,0,0,-1,5
4,3,2,2,4,1,-1,32,0,0,-1,10
4,3,2,3,4,1,-1,128,0,0,-1,5
4,3,4,1,4,3,-1,8,0,0,-1,5
4,3,4,2,4,3,-1,28,0,0,-1,10
4,3,4,3,4,3,-1,106,0,0,-1,5
4,3,5,1,4,2,-1,6,0,1,-1,13
4,3,5,2,4,2,-1,25,0,0,-1,10
4,3,5,3,4,2,-1,107,0,4,-1,1
4,3,6,1,4,2,-1,8,0,0,-1,5
4,3,6,2,4,2,-1,30,0,0,-1,10
4,3,6,3,4,2,-1,124,0,0,-1,5
4,3,7,1,4,1,-1,6,0,0,-1,5
4,3,7,2,4,1,-1,31,0,0,-1,10
4,3,7,3,4,1,-1,121,0,0,-1,5
4,3,8,1,4,3,-1,8,0,0,-1,5
4,3,8,2,4,3,-1,32,0,0,-1,10
4,3,8,3,4,3,-1,128,0,0,-1,5
4,3,9,1,4,2,-1,8,0,0,-1,5
4,3,9,2,4,2,-1,30,0,0,-1,10
4,3,9,3,4,2,-1,124,0,0,-1,5
4,3,10,1,4,2,-1,8,0,0,-1,5
4,3,10,2,4,2,-1,7,0,2,-1,8
4,3,10,3,4,2,-1,127,0,0,-1,5
4,3,11,1,4,1,-1,8,0,0,-1,5
4,3,11,2,4,1,-1,32,0,0,-1,10
4,3,11,3,4,1,-1,128,0,0,-1,5
4,3,12,1,4,4,-1,8,0,0,-1,5
4,3,12,2,4,4,-1,32,0,0,-1,10
4,3,12,3,4,4,-1,128,0,0,-1,5
4,3,13,1,4,3,-1,8,0,0,-1,5
4,3,13,2,4,3,-1,28,0,0,-1,10
4,3,13,3,4,3,-1,106,0,0,-1,5
4,3,14,1,4,3,-1,8,0,0,-1,5
4,3,14,2,4,3,-1,32,0,0,-1,10
4,3,14,3,4,3,-1,128,0,0,-1,5
4,3,15,1,4,2,-1,5,0,0,-1,5
4,3,15,2,4,2,-1,20,0,0,-1,10
4,3,15,3,4,2,-1,80,0,0,-1,5
4,4,0,1,4,1,-1,4,0,0,-1,8
4,4,0,2,4,1,-1,16,0,0,-1,1
4,4,0,3,4,1,-1,64,0,0,-1,2
4,4,1,1,4,2,-1,8,0,0,-1,8
4,4,1,2,4,2,-1,0,16,1,0,4
4,4,1,3,4,2,-1,128,0,0,-1,2
4,4,2,1,4,2,-1,6,0,0,-1,8
4,4,2,2,4,2,-1,30,0,0,-1,1
4,4,2,3,4,2,-1,102,0,1,-1,0
4,4,3,1,4,3,-1,8,0,0,-1,8
4,4,3,2,4,3,-1,28,0,0,-1,1
4,4,3,3,4,3,-1,106,0,0,-1,2
4,4,5,1,4,1,-1,8,0,0,-1,8
4,4,5,2,4,1,-1,16,0,0,-1,1
4,4,5,3,4,1,-1,128,0,0,-1,2
4,4,6,1,4,1,-1,8,0,0,-1,8
4,4,6,2,4,1,-1,32,0,0,-1,1
4,4,6,3,4,1,-1,128,0,0,-1,2
4,4,7,1,4,2,-1,8,0,0,-1,8
4,4,7,2,4,2,-1,32,0,0,-1,1
4,4,7,3,4,2,-1,128,0,0,-1,2
4,4,8,1,4,2,-1,6,0,1,-1,9
4,4,8,2,4,2,-1,30,0,0,-1,1
4,4,8,3,4,2,-1,102,0,0,-1,2
4,4,9,1,4,3,-1,8,0,0,-1,8
4,4,9,2,4,3,-1,32,0,0,-1,1
4,4,9,3,4,3,-1,128,0,0,-1,2
4,4,10,1,4,3,-1,7,0,0,-1,8
4,4,10,2,4,3,-1,20,0,0,-1,1
4,4,10,3,4,3,-1,122,0,0,-1,2
4,4,11,1,4,4,-1,8,0,0,-1,8
4,4,11,2,4,4,-1,24,0,0,-1,1
4,4,11,3,4,4,-1,126,0,0,-1,2
4,4,12,1,4,1,-1,6,0,0,-1,8
4,4,12,2,4,1,-1,31,0,0,-1,1
4,4,12,3,4,1,-1,121,0,0,-1,2
4,4,13,1,4,2,-1,8,0,0,-1,8
4,4,13,2,4,2,-1,30,0,0,-1,1
4,4,13,3,4,2,-1,128,0,0,-1,2
4,4,14,1,4,2,-1,8,0,0,-1,8
4,4,14,2,4,2,-1,30,0,0,-1,1
4,4,14,3,4,2,-1,110,0,0,-1,2
4,4,15,1,4,3,-1,5,0,0,-1,8
4,4,15,2,4,3,-1,20,0,0,-1,1
4,4,15,3,4,3,-1,92,0,0,-1,2
4,5,0,1,2,2,-1,4,0,0,-1,10
4,5,0,2,2,2,-1,0,16,1,0,0
4,5,0,3,2,2,-1,64,0,0,-1,10
4,5,1,1,4,1,-1,8,0,0,-1,10
4,5,1,2,4,1,-1,16,0,1,-1,4
4,5,1,3,4,1,-1,128,0,0,-1,10
4,5,2,1,4,3,-1,7,0,0,-1,10
4,5,2,2,4,3,-1,20,0,1,-1,4
4,5,2,3,4,3,-1,122,0,0,-1,10
4,5,3,1,4,2,-1,6,0,0,-1,10
4,5,3,2,4,2,-1,25,0,1,-1,4
4,5,3,3,4,2,-1,107,0,0,-1,10
4,5,4,1,4,1,-1,8,0,0,-1,10
4,5,4,2,4,1,-1,16,0,1,-1,1
4,5,4,3,4,1,-1,128,0,0,-1,10
4,5,6,1,4,2,-1,8,0,0,-1,10
4,5,6,2,4,2,-1,7,0,5,-1,1
4,5,6,3,4,2,-1,127,0,0,-1,10
4,5,7,1,4,1,-1,8,0,0,-1,10
4,5,7,2,4,1,-1,16,0,16,-1,13
4,5,7,3,4,1,-1,128,0,0,-1,10
4,5,8,1,4,3,-1,7,0,0,-1,10
4,5,8,2,4,3,-1,20,0,1,-1,1
4,5,8,3,4,3,-1,122,0,0,-1,10
4,5,9,1,4,2,-1,8,0,0,-1,10
4,5,9,2,4,2,-1,7,0,5,-1,4
4,5,9,3,4,2,-1,127,0,0,-1,10
4,5,10,1,2,4,23,0,0,-1,-1,-1
4,5,10,2,2,4,-1,0,4,11,10,10
4,5,10,3,2,4,-1,0,16,22,20,5
4,5,11,1,4,3,-1,7,0,0,-1,10
4,5,11,2,4,3,-1,20,0,11,-1,2
4,5,11,3,4,3,-1,122,0,0,-1,10
4,5,12,1,4,2,-1,6,0,0,-1,10
4,5,12,2,4,2,-1,25,0,1,-1,1
4,5,12,3,4,2,-1,107,0,0,-1,10
4,5,13,1,4,1,-1,8,0,0,-1,10
4,5,13,2,4,1,-1,16,0,16,-1,7
4,5,13,3,4,1,-1,128,0,0,-1,10
4,5,14,1,4,3,-1,7,0,0,-1,10
4,5,14,2,4,3,-1,20,0,11,-1,8
4,5,14,3,4,3,-1,122,0,0,-1,10
4,5,15,1,2,2,-1,4,0,0,-1,10
4,5,15,2,2,2,-1,0,16,16,0,15
