A,B,dispatch,trace,K,shift,useful_inheritance,cases,same_task_map,sum_uncompiled,sum_frozen,sum_replace,sum_revisable,revision_win_uncompiled,revision_tie_uncompiled,revision_loss_uncompiled,revision_win_frozen,revision_tie_frozen,revision_loss_frozen,revision_win_replace,revision_tie_replace,revision_loss_replace
0,51,4,2,1,one_edit,1,20,10,1740,1560,1560,1600,20,0,0,0,0,20,0,0,20
0,51,4,2,1,unchanged,1,5,5,450,400,400,410,5,0,0,0,0,5,0,0,5
0,51,4,2,1,far,1,55,10,4710,4250,4250,4360,55,0,0,0,0,55,0,0,55
0,51,4,2,4,unchanged,0,11,11,600,688,688,710,0,0,11,0,0,11,0,0,11
0,51,4,2,4,one_edit,0,44,30,2640,2992,2992,3030,0,0,44,10,0,34,10,0,34
0,51,4,2,4,far,0,121,60,7560,8528,8528,8575,0,0,121,45,0,76,45,0,76
0,51,4,2,4,one_edit,1,20,10,2160,1920,1920,1960,20,0,0,0,0,20,0,0,20
0,51,4,2,4,unchanged,1,5,5,600,520,520,530,5,0,0,0,0,5,0,0,5
0,51,4,2,4,far,1,55,10,5640,5120,5120,5230,55,0,0,0,0,55,0,0,55
0,51,4,2,16,unchanged,0,11,11,1200,1288,1288,1310,0,0,11,0,0,11,0,0,11
0,51,4,2,16,one_edit,0,44,30,5760,6112,5872,5910,10,0,34,10,0,34,10,0,34
0,51,4,2,16,far,0,121,60,17040,18008,16928,16975,45,0,76,45,0,76,45,0,76
0,51,4,2,16,one_edit,1,20,10,3840,3360,3360,3400,20,0,0,0,0,20,0,0,20
0,51,4,2,16,unchanged,1,5,5,1200,1000,1000,1010,5,0,0,0,0,5,0,0,5
0,51,4,2,16,far,1,55,10,9360,8600,8600,8710,55,0,0,0,0,55,0,0,55
0,51,4,4,1,unchanged,0,11,11,450,538,538,582,0,0,11,0,0,11,0,0,11
0,51,4,4,1,one_edit,0,44,30,1860,2212,2212,2388,0,0,44,0,0,44,0,0,44
0,51,4,4,1,far,0,121,60,5190,6158,6158,6642,0,0,121,0,0,121,0,0,121
0,51,4,4,1,one_edit,1,20,10,1740,1560,1560,1640,20,0,0,0,0,20,0,0,20
0,51,4,4,1,unchanged,1,5,5,450,400,400,420,5,0,0,0,0,5,0,0,5
0,51,4,4,1,far,1,55,10,4710,4250,4250,4470,55,0,0,0,0,55,0,0,55
0,51,4,4,4,unchanged,0,11,11,600,688,688,732,0,0,11,0,0,11,0,0,11
