n,projection,block,stride,ensemble,test_kind,test_seed,model,depth,radius,detector,region,samples,errors,seen,supported,supported_errors,baseline_errors,fixed,broken
420,parity,2,2,1,random,305,history,1,1,r3-7,background,59207,0,59207,59207,0,14924,14924,0
420,parity,2,2,1,random,305,history,1,1,r3-7,ambiguous,10640,0,10640,10640,0,2324,2324,0
420,parity,2,2,1,random,305,history,1,1,r3-7,departure,36413,6081,36413,36413,6081,12211,9150,3020
420,parity,2,2,1,random,305,history,1,1,r3-7,all,106260,6081,106260,106260,6081,29459,26398,3020
420,parity,2,2,1,random,305,history,1,1,r7-14,background,44609,0,44609,44609,0,11457,11457,0
420,parity,2,2,1,random,305,history,1,1,r7-14,ambiguous,14598,0,14598,14598,0,3467,3467,0
420,parity,2,2,1,random,305,history,1,1,r7-14,departure,47053,6081,47053,47053,6081,14535,11474,3020
420,parity,2,2,1,random,305,history,1,1,r7-14,all,106260,6081,106260,106260,6081,29459,26398,3020
420,parity,2,2,1,random,306,history,1,1,r3-7,background,53867,0,53867,53867,0,13434,13434,0
420,parity,2,2,1,random,306,history,1,1,r3-7,ambiguous,11966,0,11966,11966,0,2534,2534,0
420,parity,2,2,1,random,306,history,1,1,r3-7,departure,40427,7665,40427,40427,7665,13619,9704,3750
420,parity,2,2,1,random,306,history,1,1,r3-7,all,106260,7665,106260,106260,7665,29587,25672,3750
420,parity,2,2,1,random,306,history,1,1,r7-14,background,39188,0,39188,39188,0,9868,9868,0
420,parity,2,2,1,random,306,history,1,1,r7-14,ambiguous,14679,0,14679,14679,0,3566,3566,0
420,parity,2,2,1,random,306,history,1,1,r7-14,departure,52393,7665,52393,52393,7665,16153,12238,3750
420,parity,2,2,1,random,306,history,1,1,r7-14,all,106260,7665,106260,106260,7665,29587,25672,3750
420,parity,2,2,1,random,307,history,1,1,r3-7,background,53545,0,53545,53545,0,10171,10171,0
420,parity,2,2,1,random,307,history,1,1,r3-7,ambiguous,12280,0,12280,12280,0,2601,2601,0
420,parity,2,2,1,random,307,history,1,1,r3-7,departure,40435,8054,40435,40435,8054,13702,9546,3898
420,parity,2,2,1,random,307,history,1,1,r3-7,all,106260,8054,106260,106260,8054,26474,22318,3898
420,parity,2,2,1,random,307,history,1,1,r7-14,background,36699,0,36699,36699,0,6467,6467,0
420,parity,2,2,1,random,307,history,1,1,r7-14,ambiguous,16846,0,16846,16846,0,3704,3704,0
420,parity,2,2,1,random,307,history,1,1,r7-14,departure,52715,8054,52715,52715,8054,16303,12147,3898
420,parity,2,2,1,random,307,history,1,1,r7-14,all,106260,8054,106260,106260,8054,26474,22318,3898
420,parity,2,2,1,random,308,history,1,1,r3-7,background,52263,0,52263,52263,0,11586,11586,0
420,parity,2,2,1,random,308,history,1,1,r3-7,ambiguous,12477,0,12477,12477,0,2555,2555,0
420,parity,2,2,1,random,308,history,1,1,r3-7,departure,41520,7443,41520,41520,7443,13270,9622,3795
420,parity,2,2,1,random,308,history,1,1,r3-7,all,106260,7443,106260,106260,7443,27411,23763,3795
420,parity,2,2,1,random,308,history,1,1,r7-14,background,37333,0,37333,37333,0,8328,8328,0
420,parity,2,2,1,random,308,history,1,1,r7-14,ambiguous,14930,0,14930,14930,0,3258,3258,0
420,parity,2,2,1,random,308,history,1,1,r7-14,departure,53997,7443,53997,53997,7443,15825,12177,3795
