rule_a,rule_b,regime,density,activity,baseline,autonomy_r1,autonomy_r2,autonomy_r3
4,223,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
52,112,crystalline,0.0,0.0,1.0,1.0,1.0,1.0
177,187,crystalline,0.34,0.0,0.66,1.0,1.0,1.0
83,159,crystalline,1.0,0.0,1.0,1.0,1.0,1.0
127,176,crystalline,0.295,0.19,0.705,0.81,0.8925,0.9575
55,91,crystalline,0.915,0.0,0.915,1.0,1.0,1.0
62,164,drain,0.2,0.0,0.8,1.0,1.0,1.0
1,110,drain,0.4937,0.5734,0.5063,0.6544,0.9199,0.942
136,182,drain,0.0,0.0,1.0,1.0,1.0,1.0
154,213,drain,0.315,0.36,0.685,1.0,1.0,1.0
169,234,drain,0.05,0.04,0.95,1.0,1.0,1.0
27,132,drain,0.3375,0.325,0.6625,0.7149,0.8098,0.8598
193,203,drain,0.27,0.0,0.73,1.0,1.0,1.0
86,101,drain,0.4979,0.4993,0.5021,0.5042,0.6882,0.6882
26,225,drain,0.4872,0.4942,0.5128,0.5287,0.5888,0.5895
226,248,drain,0.0,0.0,1.0,1.0,1.0,1.0
18,96,drain,0.13,0.0,0.87,1.0,1.0,1.0
188,249,drain,0.0,0.0,1.0,1.0,1.0,1.0
18,161,drain,0.4732,0.4382,0.5268,0.7007,0.7133,0.716
40,194,drain,0.0,0.0,1.0,1.0,1.0,1.0
127,133,drain,0.4966,0.5001,0.5034,0.5265,0.9793,0.9807
220,232,drain,0.0,0.0,1.0,1.0,1.0,1.0
115,124,drain,0.4939,0.5138,0.5061,0.7183,0.7183,0.7186
15,133,drain,0.5022,0.4984,0.5022,0.6552,0.9886,0.9886
108,139,drain,0.4534,0.4636,0.5466,0.9597,0.9898,0.9914
15,58,drain,0.335,0.33,0.665,1.0,1.0,1.0
32,156,drain,0.0,0.0,1.0,1.0,1.0,1.0
37,90,drain,0.4917,0.4969,0.5083,0.5083,0.9146,0.9146
168,254,drain,0.0,0.0,1.0,1.0,1.0,1.0
227,249,drain,0.0,0.0,1.0,1.0,1.0,1.0
32,38,drain,0.0,0.0,1.0,1.0,1.0,1.0
137,163,drain,0.4747,0.4761,0.5253,0.8924,0.8972,0.9207
14,254,drain,0.34,0.46,0.66,0.74,1.0,1.0
186,249,drain,0.0,0.0,1.0,1.0,1.0,1.0
63,161,drain,0.5019,0.5018,0.5019,0.6302,0.9796,0.9804
115,128,drain,0.5775,0.255,0.5775,0.7774,0.8301,0.8874
72,194,drain,0.0,0.0,1.0,1.0,1.0,1.0
104,106,drain,0.075,0.09,0.925,1.0,1.0,1.0
119,122,drain,0.4884,0.4743,0.5116,0.7194,0.7521,0.7531
134,218,drain,0.2104,0.1852,0.7896,0.893,0.9606,0.9819
20,86,drain,0.355,0.45,0.645,0.74,1.0,1.0
36,54,drain,0.0,0.0,1.0,1.0,1.0,1.0
13,126,drain,0.5566,0.494,0.5566,0.7454,0.8578,0.8967
128,229,drain,0.533,0.5032,0.533,0.6006,0.7701,0.7795
97,126,drain,0.5374,0.4833,0.5374,0.5512,0.6341,0.6418
104,164,drain,0.085,0.0,0.915,1.0,1.0,1.0
32,182,drain,0.0,0.0,1.0,1.0,1.0,1.0
