m,w,area,a,b,k,u,v,rule,physical_flips
1,4,4,6,0,2,0,0,204,2
1,4,4,7,15,2,0,0,255,1
1,4,4,8,0,2,0,0,255,1
1,4,4,9,15,2,0,0,204,2
1,4,4,11,15,2,0,0,255,1
1,4,4,12,0,2,0,0,204,2
1,4,4,12,3,2,0,0,204,4
1,4,4,12,15,2,0,0,204,2
1,4,4,13,15,2,0,0,255,1
1,4,4,14,15,2,0,0,255,1
1,4,4,15,0,2,0,0,204,4
1,4,4,15,3,2,0,0,204,2
1,4,4,15,7,2,0,0,0,1
1,4,4,15,9,2,0,0,204,2
1,4,4,15,11,2,0,0,0,1
1,4,4,15,12,2,0,0,204,2
1,4,4,15,13,2,0,0,0,1
1,4,4,15,14,2,0,0,0,1
1,4,4,0,1,2,1,0,0,1
1,4,4,0,2,2,1,0,0,1
1,4,4,0,4,2,1,0,0,1
1,4,4,0,8,2,1,0,0,1
1,4,4,1,0,2,1,0,255,1
1,4,4,2,0,2,1,0,255,1
1,4,4,4,0,2,1,0,255,1
1,4,4,7,15,2,1,0,255,1
1,4,4,8,0,2,1,0,255,1
1,4,4,11,15,2,1,0,255,1
1,4,4,13,15,2,1,0,255,1
1,4,4,14,15,2,1,0,255,1
1,4,4,15,7,2,1,0,0,1
1,4,4,15,11,2,1,0,0,1
1,4,4,15,13,2,1,0,0,1
1,4,4,15,14,2,1,0,0,1
1,4,4,0,1,2,2,0,0,1
1,4,4,0,2,2,2,0,0,1
1,4,4,0,4,2,2,0,0,1
1,4,4,0,5,2,2,0,136,2
1,4,4,0,8,2,2,0,0,1
1,4,4,0,10,2,2,0,136,2
1,4,4,1,0,2,2,0,255,1
1,4,4,2,0,2,2,0,255,1
1,4,4,4,0,2,2,0,255,1
1,4,4,5,0,2,2,0,238,2
1,4,4,5,15,2,2,0,238,2
1,4,4,7,15,2,2,0,255,1
1,4,4,8,0,2,2,0,255,1
1,4,4,10,0,2,2,0,238,2
1,4,4,10,15,2,2,0,238,2
1,4,4,11,15,2,2,0,255,1
1,4,4,13,15,2,2,0,255,1
1,4,4,14,15,2,2,0,255,1
1,4,4,15,5,2,2,0,136,2
1,4,4,15,7,2,2,0,0,1
1,4,4,15,10,2,2,0,136,2
1,4,4,15,11,2,2,0,0,1
1,4,4,15,13,2,2,0,0,1
1,4,4,15,14,2,2,0,0,1
1,4,4,0,1,3,-3,0,0,1
1,4,4,0,2,3,-3,0,0,1
1,4,4,0,4,3,-3,0,0,1
1,4,4,0,8,3,-3,0,0,1
1,4,4,1,0,3,-3,0,255,1
1,4,4,2,0,3,-3,0,255,1
1,4,4,4,0,3,-3,0,255,1
1,4,4,7,15,3,-3,0,255,1
1,4,4,8,0,3,-3,0,255,1
1,4,4,11,15,3,-3,0,255,1
1,4,4,13,15,3,-3,0,255,1
1,4,4,14,15,3,-3,0,255,1
1,4,4,15,7,3,-3,0,0,1
1,4,4,15,11,3,-3,0,0,1
1,4,4,15,13,3,-3,0,0,1
1,4,4,15,14,3,-3,0,0,1
1,4,4,0,1,3,-2,0,0,1
1,4,4,0,2,3,-2,0,0,1
1,4,4,0,4,3,-2,0,0,1
1,4,4,0,8,3,-2,0,0,1
1,4,4,1,0,3,-2,0,255,1
1,4,4,2,0,3,-2,0,255,1
1,4,4,4,0,3,-2,0,255,1
1,4,4,7,15,3,-2,0,255,1
1,4,4,8,0,3,-2,0,255,1
1,4,4,11,15,3,-2,0,255,1
1,4,4,13,15,3,-2,0,255,1
1,4,4,14,15,3,-2,0,255,1
1,4,4,15,7,3,-2,0,0,1
1,4,4,15,11,3,-2,0,0,1
1,4,4,15,13,3,-2,0,0,1
1,4,4,15,14,3,-2,0,0,1
1,4,4,0,1,3,-1,0,0,1
1,4,4,0,2,3,-1,0,0,1
1,4,4,0,4,3,-1,0,0,1
1,4,4,0,8,3,-1,0,0,1
1,4,4,1,0,3,-1,0,255,1
1,4,4,2,0,3,-1,0,255,1
1,4,4,4,0,3,-1,0,255,1
1,4,4,7,15,3,-1,0,255,1
1,4,4,8,0,3,-1,0,255,1
1,4,4,11,15,3,-1,0,255,1
1,4,4,13,15,3,-1,0,255,1
1,4,4,14,15,3,-1,0,255,1
1,4,4,15,7,3,-1,0,0,1
1,4,4,15,11,3,-1,0,0,1
1,4,4,15,13,3,-1,0,0,1
1,4,4,15,14,3,-1,0,0,1
1,4,4,0,1,3,0,0,0,1
1,4,4,0,2,3,0,0,0,1
1,4,4,0,3,3,0,0,204,2
1,4,4,0,4,3,0,0,0,1
1,4,4,0,6,3,0,0,204,2
1,4,4,0,8,3,0,0,0,1
1,4,4,0,12,3,0,0,204,2
1,4,4,0,15,3,0,0,204,4
1,4,4,1,0,3,0,0,255,1
1,4,4,2,0,3,0,0,255,1
1,4,4,3,0,3,0,0,204,2
1,4,4,3,12,3,0,0,204,4
1,4,4,3,15,3,0,0,204,2
1,4,4,4,0,3,0,0,255,1
1,4,4,6,0,3,0,0,204,2
1,4,4,7,15,3,0,0,255,1
1,4,4,8,0,3,0,0,255,1
1,4,4,9,15,3,0,0,204,2
1,4,4,11,15,3,0,0,255,1
1,4,4,12,0,3,0,0,204,2
1,4,4,12,3,3,0,0,204,4
1,4,4,12,15,3,0,0,204,2
1,4,4,13,15,3,0,0,255,1
1,4,4,14,15,3,0,0,255,1
1,4,4,15,0,3,0,0,204,4
1,4,4,15,3,3,0,0,204,2
1,4,4,15,7,3,0,0,0,1
1,4,4,15,9,3,0,0,204,2
1,4,4,15,11,3,0,0,0,1
1,4,4,15,12,3,0,0,204,2
1,4,4,15,13,3,0,0,0,1
1,4,4,15,14,3,0,0,0,1
1,4,4,0,1,3,1,0,0,1
1,4,4,0,2,3,1,0,0,1
1,4,4,0,4,3,1,0,0,1
1,4,4,0,8,3,1,0,0,1
1,4,4,1,0,3,1,0,255,1
1,4,4,2,0,3,1,0,255,1
1,4,4,4,0,3,1,0,255,1
1,4,4,7,15,3,1,0,255,1
1,4,4,8,0,3,1,0,255,1
1,4,4,11,15,3,1,0,255,1
1,4,4,13,15,3,1,0,255,1
1,4,4,14,15,3,1,0,255,1
1,4,4,15,7,3,1,0,0,1
1,4,4,15,11,3,1,0,0,1
1,4,4,15,13,3,1,0,0,1
1,4,4,15,14,3,1,0,0,1
1,4,4,0,1,3,2,0,0,1
1,4,4,0,2,3,2,0,0,1
1,4,4,0,4,3,2,0,0,1
1,4,4,0,8,3,2,0,0,1
1,4,4,1,0,3,2,0,255,1
1,4,4,2,0,3,2,0,255,1
1,4,4,4,0,3,2,0,255,1
1,4,4,7,15,3,2,0,255,1
1,4,4,8,0,3,2,0,255,1
1,4,4,11,15,3,2,0,255,1
1,4,4,13,15,3,2,0,255,1
1,4,4,14,15,3,2,0,255,1
1,4,4,15,7,3,2,0,0,1
1,4,4,15,11,3,2,0,0,1
1,4,4,15,13,3,2,0,0,1
1,4,4,15,14,3,2,0,0,1
1,4,4,0,1,3,3,0,0,1
1,4,4,0,2,3,3,0,0,1
1,4,4,0,4,3,3,0,0,1
1,4,4,0,8,3,3,0,0,1
1,4,4,1,0,3,3,0,255,1
1,4,4,2,0,3,3,0,255,1
1,4,4,4,0,3,3,0,255,1
1,4,4,7,15,3,3,0,255,1
1,4,4,8,0,3,3,0,255,1
1,4,4,11,15,3,3,0,255,1
1,4,4,13,15,3,3,0,255,1
1,4,4,14,15,3,3,0,255,1
1,4,4,15,7,3,3,0,0,1
1,4,4,15,11,3,3,0,0,1
1,4,4,15,13,3,3,0,0,1
1,4,4,15,14,3,3,0,0,1
1,5,5,0,1,1,-1,0,0,1
1,5,5,0,2,1,-1,0,0,1
1,5,5,0,4,1,-1,0,0,1
1,5,5,0,8,1,-1,0,0,1
1,5,5,0,16,1,-1,0,0,1
1,5,5,1,0,1,-1,0,255,1
1,5,5,2,0,1,-1,0,255,1
1,5,5,4,0,1,-1,0,255,1
1,5,5,8,0,1,-1,0,255,1
1,5,5,15,31,1,-1,0,255,1
1,5,5,16,0,1,-1,0,255,1
1,5,5,23,31,1,-1,0,255,1
1,5,5,27,31,1,-1,0,255,1
1,5,5,29,31,1,-1,0,255,1
1,5,5,30,31,1,-1,0,255,1
1,5,5,31,15,1,-1,0,0,1
1,5,5,31,23,1,-1,0,0,1
1,5,5,31,27,1,-1,0,0,1
1,5,5,31,29,1,-1,0,0,1
1,5,5,31,30,1,-1,0,0,1
1,5,5,0,1,1,0,0,0,1
1,5,5,0,2,1,0,0,0,1
1,5,5,0,3,1,0,0,204,2
