n,A,B,h,observation,initial_states,action_words,noncommuting_states,sum_prepared_hamming,different_sets,equal_sets,unequal_sizes,equal_size_different_sets,AB_strict_subset_BA,BA_strict_subset_AB,incomparable_sets,changed_response_maps,equal_sets_different_maps,different_prepared_equal_sets,different_word_endpoints,sum_repertoire_AB,sum_repertoire_BA,min_repertoire_AB,max_repertoire_AB,min_repertoire_BA,max_repertoire_BA,mean_jaccard_distance
6,4,54,4,population_count,64,16,56,168,51,13,51,0,21,30,0,51,0,5,264,184,130,1,5,1,5,0.6187499999999999
6,4,54,5,identity,64,32,56,168,51,13,51,0,21,30,0,51,0,5,414,184,130,1,5,1,5,0.6187499999999999
6,4,54,5,population_count,64,32,56,168,51,13,51,0,21,30,0,51,0,5,414,184,130,1,5,1,5,0.6187499999999999
6,4,54,6,identity,64,64,56,168,51,13,51,0,21,30,0,51,0,5,660,184,130,1,5,1,5,0.6187499999999999
6,4,54,6,population_count,64,64,56,168,51,13,51,0,21,30,0,51,0,5,660,184,130,1,5,1,5,0.6187499999999999
6,4,90,0,identity,64,1,27,72,27,37,0,27,0,0,27,27,0,0,27,64,64,1,1,1,1,0.421875
6,4,90,0,population_count,64,1,27,72,21,43,0,21,0,0,21,21,0,6,21,64,64,1,1,1,1,0.328125
6,4,90,1,identity,64,2,27,72,21,43,21,0,0,3,18,27,6,6,51,97,88,1,2,1,2,0.3046875
6,4,90,1,population_count,64,2,27,72,21,43,3,18,0,3,18,21,0,6,39,67,64,1,2,1,1,0.3046875
6,4,90,2,identity,64,4,27,72,21,43,21,0,0,3,18,27,6,6,99,97,88,1,2,1,2,0.3046875
6,4,90,2,population_count,64,4,27,72,21,43,3,18,0,3,18,21,0,6,75,67,64,1,2,1,1,0.3046875
6,4,90,3,identity,64,8,27,72,21,43,21,0,0,3,18,27,6,6,195,97,88,1,2,1,2,0.3046875
6,4,90,3,population_count,64,8,27,72,21,43,3,18,0,3,18,21,0,6,147,67,64,1,2,1,1,0.3046875
6,4,90,4,identity,64,16,27,72,21,43,21,0,0,3,18,27,6,6,387,97,88,1,2,1,2,0.3046875
6,4,90,4,population_count,64,16,27,72,21,43,3,18,0,3,18,21,0,6,291,67,64,1,2,1,1,0.3046875
6,4,90,5,identity,64,32,27,72,21,43,21,0,0,3,18,27,6,6,771,97,88,1,2,1,2,0.3046875
6,4,90,5,population_count,64,32,27,72,21,43,3,18,0,3,18,21,0,6,579,67,64,1,2,1,1,0.3046875
6,4,90,6,identity,64,64,27,72,21,43,21,0,0,3,18,27,6,6,1539,97,88,1,2,1,2,0.3046875
6,4,90,6,population_count,64,64,27,72,21,43,3,18,0,3,18,21,0,6,1155,67,64,1,2,1,1,0.3046875
6,4,110,0,identity,64,1,47,108,47,17,0,47,0,0,47,47,0,0,47,64,64,1,1,1,1,0.734375
6,4,110,0,population_count,64,1,47,108,47,17,0,47,0,0,47,47,0,0,47,64,64,1,1,1,1,0.734375
6,4,110,1,identity,64,2,47,108,45,19,45,0,0,33,12,45,0,2,57,97,76,1,2,1,2,0.4453125
